案件文件名称,判决文书中的原始条款,原始引用内容,新法条款,新法条款内容
case1.pdf,《中华人民共和国合同法》第五十六条,无效的合同或者被撤销的合同自始没有法律约束力。,《民法典》第一百五十五条,无效的或者被撤销的民事法律行为自始没有法律约束力。
case1.pdf,《中华人民共和国物权法》第二十条第二款,预告登记后，债权消灭或者自能够进行不动产登记之日起三个月内未申请登记的，预告登记失效。,《民法典》第二百二十一条,当事人签订买卖房屋的协议或者签订其他不动产物权的协议，为保障将来实现物权，按照约定可以向登记机构申请预告登记。预告登记后，未经预告登记的权利人同意，处分该不动产的，不发生物权效力。预告登记后，债权消灭或者自能够进行不动产登记之日起九十日内未申请登记的，预告登记失效。
case2.pdf,《中华人民共和国继承法》第五条,继承开始后，按照法定继承办理；有遗嘱的，按照遗嘱继承或者遗赠办理；有遗赠扶养协议的，按照协议办理。,《民法典》第一千一百二十三条,继承开始后，按照法定继承办理；有遗嘱的，按照遗嘱继承或者遗赠办理；有遗赠扶养协议的，按照协议办理。
case2.pdf,《中华人民共和国继承法》第十条,遗产按照下列顺序继承：第一顺序：配偶、子女、父母。第二顺序：兄弟姐妹、祖父母、外祖父母。继承开始后，由第一顺位继承人继承，第二顺序继承人不继承。没有第一顺序继承人继承的，由第二顺序继承人继承。,《民法典》第一千一百二十七条,遗产按照下列顺序继承：（一）第一顺序：配偶、子女、父母；（二）第二顺序：兄弟姐妹、祖父母、外祖父母。继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。
case2.pdf,《中华人民共和国物权法》第二十九条,因继承或者受遗赠取得物权的，自继承或者受遗赠开始时发生效力。,《民法典》第二百三十条,因继承取得物权的，自继承开始时发生效力。
case3.pdf,《中华人民共和国合同法》第一百零六条,债权和债务同归于一人的，合同的权利义务终止，但涉及第三人利益的除外。,《民法典》第五百七十六条,债权和债务同归于一人的，债权债务终止，但是损害第三人利益的除外。
case4.pdf,《中华人民共和国合同法》第二百一十五条,租赁期限六个月以上的，应当采用书面形式。当事人未采用书面形式的，视为不定期租赁。,《民法典》第七百零七条,租赁期限六个月以上的，应当采用书面形式。当事人未采用书面形式，无法确定租赁期限的，视为不定期租赁。
case5.pdf,《中华人民共和国婚姻法》第七条,有下列情形之一的，禁止结婚：（一）直系血亲和三代以内的旁系血亲；（二）患有医学上认为不应当结婚的疾病。,《民法典》第一千零四十八条,直系血亲或者三代以内的旁系血亲禁止结婚。
case5.pdf,《中华人民共和国婚姻法》第十条,有下列情形之一的，婚姻无效：（一）重婚的；（二）有禁止结婚的亲属关系的；……,《民法典》第一千零五十一条,有下列情形之一的，婚姻无效：（一）重婚；（二）有禁止结婚的亲属关系；（三）未到法定婚龄。
case5.pdf,《中华人民共和国婚姻法》第十二条,无效或被撤销的婚姻，自始无效。当事人不具有夫妻的权利和义务。同居期间所得的财产，由当事人协议处理；协议不成时，由人民法院根据照顾无过错方的原则判决。对重婚导致的婚姻无效的财产处理，不得侵害合法婚姻当事人的财产权益。当事人所生的子女，适用本法有关父母子女的规定。,《民法典》第一千零五十四条,无效的或者被撤销的婚姻自始没有法律约束力，当事人不具有夫妻的权利和义务。同居期间所得的财产，由当事人协议处理；协议不成的，由人民法院根据照顾无过错方的原则判决。对重婚导致的无效婚姻的财产处理，不得侵害合法婚姻当事人的财产权益。当事人所生的子女，适用本法关于父母子女的规定。
